authorBookId	authorName	bookId
1	Waley, Arthur	16500
2	Bai, Juyi	16500
3	Defoe, Daniel	11866
4	Wilson, Samuel Graham	36585
5	Stevens, George T. (George Thomas)	21976
6	Elwell, J. B. (Joseph Bowne)	38120
7	Schlesinger, Max	46571
8	Wenckstern, Otto von	46571
9	Clodd, Edward	43813
10	Tagore, Rabindranath	2518
11	Fontenoy, marquise de	12548
12	Diffin, Charles Willard	29202
13	Emerson, Charles Wesley	34498
14	Warner, Charles Dudley	3117
15	Burkett, Charles William	20772
16	Hill, Daniel Harvey	20772
17	Stevens, Frank Lincoln	20772
18	Unknown	30169
19	Ruskin, John	21138
20	Gruger, Frederic Rodrigo	46945
21	Foster, Maximilian	46945
22	Merrill, Frank T.	36133
23	Reed, Helen Leah	36133
24	Abbott, Jane	19057
25	Richards, Harriet Roosevelt	19057
26	Bourinot, John George	6466
27	Piper, H. Beam	17866
28	Harrison, James	16912
29	Crosby, Raymond Moreau	41581
30	Sharber, Kate Trimble	41581
31	Crummell, Alexander	31268
32	Hodgson, E. S. (Edward Smith)	39490
33	Westerman, Percy F. (Percy Francis)	39490
34	Raphael, John N. (John Nathan)	20572
35	Audoux, Marguerite	20572
36	Various	8687
37	Vizetelly, Ernest Alfred	8723
38	Zola, Émile	8723
39	French, John Denton Pinkstone, Earl of Ypres	24538
40	Sibley, Don	32828
41	Marks, Winston K.	32828
42	Flammarion, Camille	43835
43	Hale, Edward Everett	1633
44	Galt, John	44573
45	Various	23572
46	Kevorkian, Hagop K.	26473
47	Shaler, Robert	48410
48	Davis, James J. (James John)	1297
49	United States. Bureau of the Census	29
50	Various	15478
51	Fillmore, Millard	5021
52	Blancké, Wilton W. (Wilton Wallace)	9970
53	Mickiewicz, Adam	12458
54	Borrow, George	12458
55	Pushkin, Aleksandr Sergeevich	12458
56	Morley, John	20844
57	Hirsch, Robert Reynold	30011
58	Boelcke, Oswald	30011
59	Hedges, Charles	44682
60	Harrison, Benjamin	44682
61	MacMillan, Cyrus	28253
62	Ames, Azel	4105
