bookId	title
16500	More Translations from the Chinese
11866	The Life and Most Surprising Adventures of Robinson Crusoe, of York, Mariner (1801)
36585	Bahaism and Its Claims A Study of the Religion Promulgated by Baha Ullah and Abdul Baha
21976	Three Years in the Sixth CorpsA Concise Narrative of Events in the Army of the Potomac,from 1861 to the Close of the Rebellion, April, 1865
38120	Bridge Axioms and Laws
46571	Saunterings in and about London
43813	Myths and Dreams
2518	The Hungry Stones, and Other Stories
12548	The Secret Memoirs of the Courts of Europe: William II, Germany; Francis Joseph, Austria-Hungary, Volume I. (of 2)
29202	The Hammer of Thor
34498	Evolution of Expression, Volume 2—RevisedA Compilation of Selections Illustrating the Four Stages of Development in Art As Applied to Oratory; Twenty-Eighth Edition
3117	The Relation of Literature to Life
20772	Agriculture for BeginnersRevised Edition
30169	The Story of the White Mouse
21138	Love's Meinie: Three Lectures on Greek and English Birds
46945	Rich Man, Poor Man
36133	Brenda's WardA Sequel to 'Amy in Acadia'
19057	Red-Robin
6466	The Intellectual Development of the Canadian People: An Historical Review
17866	Murder in the Gunroom
16912	The Life of the Right Honourable Horatio Lord Viscount Nelson, Volume 1
41581	Amazing Grace, Who Proves That Virtue Has Its Silver Lining
31268	Civilization the Primal Need of the Race, and The Attitude of the American Mind Toward the Negro Intellect The American Negro Academy. Occasional Paper No. 3
39490	A Lad of Grit: A Story of Adventure on Land and Sea in Restoration Times
20572	Marie Claire
8687	Scientific American Supplement, No. 362, December 9, 1882
8723	The Three Cities Trilogy: Rome, Volume 3
24538	1914
32828	Backlash
43835	Lumen
1633	The Brick Moon, and Other Stories
44573	The Entail; or, The Lairds of Grippy
23572	Blackwood's Edinburgh Magazine, Volume 61, No. 379, May, 1847
26473	The Arts of Persia & Other Countries of Islam
48410	The Boy Scouts of the Naval Reserve
1297	The Iron Puddler: My Life in the Rolling Mills and What Came of It
29	The 1990 United States Census
15478	New York Times Current History: The European War, Vol 2, No. 1, April, 1915April-September, 1915
5021	State of the Union Addresses
9970	The Dramatic Values in Plautus
12458	The Talisman, from the Russian of Alexander Pushkin; With Other Pieces
20844	Critical Miscellanies (Vol. 3 of 3), Essay 5: On Pattison's Memoirs
30011	An Aviator's Field Book Being the field reports of Oswald Bölcke, from August 1, 1914 to October 28, 1916
44682	Speeches of Benjamin Harrison, Twenty-third President of the United States
28253	McGill and its Story, 1821-1921
4105	The Mayflower and Her Log; July 15, 1620-May 6, 1621 — Volume 5
5565	Barbara Blomberg — Volume 05
5991	The Solitary Summer
31572	Rulers of India: Akbar
1076	The Wallet of Kai Lung
25732	The Faust-Legend and Goethe's 'Faust'
13677	"Beautiful Thoughts"
9601	The Poetical Works of Alexander Pope, Volume 2
44406	Papers and Proceedings of the Twenty-Third General Meeting of the American Library Association Held at Waukesha, Wisconsin, July 4-10, 1901
35494	Fine Books
24278	The Green Beret
11297	Travels through the Empire of Morocco
14735	Political Thought in England from Locke to Bentham
58967	The Procurator of Judea
18676	Our Navy in the War
